,name,price,rating,id,country_of_origin
0,Elka Iskusstvennaja Sosna s ineem,3045,5,17371820,China
1,Elka Iskusstvennaja Sosna s ineem,2559,5,17371819,China
2,"El' ""Kavkazskaja Ljuks"" 2,2 m",11519,5,45732805,Russia
3,Elka Iskusstvennaja Sosna s ineem,2390,5,17371818,China
4,Elka iskusstvennaja novogodnjaja 210 180 150 120 sm s shishkami,2632,5,41832891,Russia
5,"El' iskusstvennaja 1,8 m belye konchiki",7801,5,14544741,Russia
6,Elka iskusstvennaja Elka novogodnjaja Karpatskaja 180sm,6403,5,99471643,Poland
7,Elka Iskusstvennaja Sosna s ineem,1300,5,17371817,China
8,"El' ""Kavkazskaja"" 0,7 m belye konchiki",1526,5,14587864,Russia
9,Elka iskusstvennaja novogodnjaja,3773,5,42494358,Russia
10,Schastlivyj Novyj god Novogodnjaja el',4199,5,45111392,China
11,Elka novogodnjaja iskusstvennaja 180 sm,4068,4,17521584,Russia
12,Elka iskusstvennaja novogodnjaja 210 180 150 120 sm s shishkami,3326,5,100738560,Russia
13,Iskusstvennaja elka so snegom i shishkami,2766,5,96848101,China
14,Premium Miks El' iskusstvennaja novogodnjaja 195 sm Litaja+PVH,14640,5,49688665,Belarus
15,Elka,2548,4,120999501,Russia
16,Elka iskusstvennaja Elka napol'naja s zhivymi shishkami 180 sm,2245,5,125848059,China
17,Elka iskusstvennaja Novogodnjaja s shishkami,2940,5,42664281,China
18,Elka,1169,5,100675548,Russia
19,Elka iskusstvennaja Novogodnjaja s shishkami,2600,5,16335025,China
20,El' iskusstvennaja Favorit 190 sm,11918,5,26936919,Russia
21,"Elka ""Kavkazskaja"" nastol'naja 50 sm",582,5,48539716,Russia
22,Schastlivyj Novyj god Novogodnjaja el',2595,5,45111391,China
23,Elka iskusstvennaja 180 sm pushistaja novogodnjaja dlja prazdnika,1439,4,45511712,China
24,Elka iskusstvennaja girljanda shishki magnit,3304,5,44003737,Russia
25,Elka iskusstvennaja El' napol'naja s zhivymi shishkami 210 sm,2895,5,125850405,China
26,Elka iskusstvennaja Elka novogodnjaja Karpatskaja 150sm,4699,5,99473708,Poland
27,Elka novogodnjaja iskusstvennaja Alisa 190sm,9562,5,10160633,Russia
28,"El' Kavkazskaja zasnezhennaja 0,5",906,5,50203194,Russia
29,"El' ""Kavkazskaja Ljuks"" 2,2 m",11521,5,14544747,Russia
30,Elka iskusstvennaja novogodnjaja 210 180 150 120 sm s shishkami,1817,5,99444334,Russia
31,Driada Novyj god Elka iskusstvennaja 185 sm 100% Litaja,14880,5,49688664,Belarus
32,Elka iskusstvennaja Elka novogodnjaja Karpatskaja 200sm,7399,5,99473722,Poland
33,"Elka iskusstvennaja 150, 180, 210, 240 sm Elka novogodnjaja",2398,5,44801225,Russia
34,Elka iskusstvennaja novogodnjaja El' 210 sm,7975,5,42761947,
35,"Elka iskusstvennaja, Novogodnjaja elka 180 sm",2576,5,124707597,China
36,Elka novogodnjaja iskusstvennaja 220 sm,5346,4,45009990,Russia
37,"Elka iskusstvennaja 150, 180, 210, 240 sm Elka novogodnjaja",2645,5,16097982,Russia
38,"Elka iskusstvennaja 150, 180, 210, 240 sm Elka novogodnjaja",2401,5,16097981,Russia
39,Elka novogodnjaja iskusstvennaja 120 sm,2145,4,45009987,Russia
